transaction_id,company_id,supplier_id,category,amount,transaction_date,payment_type,region
1,16,8,Logistics,264.47,2024-09-17,Corporate Card,APAC
2,5,6,Travel,188.15,2024-02-01,Virtual Card,APAC
3,4,6,SaaS,936.82,2024-01-12,Corporate Card,APAC
4,20,10,SaaS,594.26,2024-04-30,Virtual Card,APAC
5,8,1,Logistics,254.54,2024-02-29,Corporate Card,APAC
6,15,2,Logistics,738.06,2024-04-03,Corporate Card,APAC
7,9,1,Travel,566.79,2024-05-24,Corporate Card,APAC
8,15,5,IT Hardware,810.68,2024-10-18,Virtual Card,APAC
9,11,3,Operations,354.8,2024-07-02,Virtual Card,APAC
10,9,13,IT Hardware,325.76,2024-04-21,Corporate Card,APAC
11,8,21,Logistics,132.71,2024-04-16,Corporate Card,APAC
12,7,13,Logistics,1354.8,2024-03-15,Corporate Card,APAC
13,5,3,Logistics,185.09,2024-04-02,Corporate Card,APAC
14,17,21,SaaS,194.45,2024-12-09,Corporate Card,APAC
15,8,9,Logistics,316.82,2024-04-02,Virtual Card,APAC
16,13,8,Travel,199.44,2024-03-17,Corporate Card,APAC
17,1,4,SaaS,338.74,2024-01-06,Corporate Card,APAC
18,12,19,SaaS,358.38,2024-07-07,Corporate Card,APAC
19,7,10,SaaS,506.65,2024-10-04,Corporate Card,APAC
20,20,6,SaaS,153.33,2024-01-22,Corporate Card,APAC
21,13,9,SaaS,722.57,2024-06-17,Corporate Card,APAC
22,6,2,Operations,690.41,2024-12-05,Corporate Card,APAC
23,17,7,SaaS,258.74,2024-12-04,Corporate Card,APAC
24,1,2,SaaS,146.93,2024-03-16,Corporate Card,APAC
25,3,4,SaaS,281.24,2024-05-29,Corporate Card,APAC
26,10,11,Travel,641.27,2024-03-25,Corporate Card,APAC
27,15,5,SaaS,887.05,2024-11-29,Corporate Card,APAC
28,7,9,Travel,1090.77,2024-07-17,Corporate Card,APAC
29,5,6,IT Hardware,191.61,2024-10-20,Corporate Card,APAC
30,15,5,IT Hardware,311.95,2024-02-21,Corporate Card,APAC
31,10,4,Operations,248.73,2024-12-09,Corporate Card,APAC
32,4,2,IT Hardware,216.6,2024-11-08,Corporate Card,APAC
33,4,9,Travel,249.8,2024-05-17,Virtual Card,APAC
34,9,4,Travel,1028.93,2024-06-01,Corporate Card,APAC
35,20,8,SaaS,308.8,2024-11-01,Corporate Card,APAC
36,17,2,SaaS,413.99,2024-02-24,Virtual Card,APAC
37,2,7,Operations,491.39,2024-09-26,Virtual Card,APAC
38,1,4,IT Hardware,368.77,2024-07-27,Corporate Card,APAC
39,17,3,Operations,180.2,2024-01-17,Corporate Card,APAC
40,13,15,Travel,861.41,2024-07-26,Corporate Card,APAC
41,8,5,SaaS,267.31,2024-01-01,Virtual Card,APAC
42,11,1,Travel,583.87,2024-12-02,Corporate Card,APAC
43,10,7,Travel,1345.63,2024-07-11,Corporate Card,APAC
44,4,12,SaaS,267.93,2024-06-19,Corporate Card,APAC
45,1,6,IT Hardware,183.57,2024-01-31,Corporate Card,APAC
46,8,4,IT Hardware,409.28,2024-05-12,Corporate Card,APAC
47,1,18,Operations,492.16,2024-11-25,Virtual Card,APAC
48,5,3,SaaS,542.65,2024-03-07,Virtual Card,APAC
49,4,9,Travel,390.35,2024-03-12,Virtual Card,APAC
50,2,10,Travel,228.42,2024-09-13,Corporate Card,APAC
51,4,1,Travel,1213.22,2024-03-13,Virtual Card,APAC
52,2,3,SaaS,560.84,2024-07-30,Corporate Card,APAC
53,20,8,Travel,319.06,2024-06-28,Corporate Card,APAC
54,5,7,Travel,545.34,2024-01-18,Corporate Card,APAC
55,20,4,Operations,1498.24,2024-02-21,Corporate Card,APAC
56,2,2,Logistics,451.48,2024-06-26,Virtual Card,APAC
57,6,2,Operations,574.5,2024-08-20,Corporate Card,APAC
58,10,2,Operations,240.54,2024-09-21,Corporate Card,APAC
59,18,18,Travel,785.07,2024-06-23,Virtual Card,APAC
60,3,10,Operations,139.96,2024-05-25,Corporate Card,APAC
61,20,9,Travel,142.54,2024-11-14,Corporate Card,APAC
62,19,9,Travel,578.51,2024-07-01,Corporate Card,APAC
63,19,6,Logistics,232.8,2024-12-20,Virtual Card,APAC
64,4,2,Operations,749.13,2024-06-25,Corporate Card,APAC
65,12,5,IT Hardware,310.29,2024-10-28,Corporate Card,APAC
66,16,5,IT Hardware,428.35,2024-04-06,Corporate Card,APAC
67,17,4,Travel,461.34,2024-07-18,Corporate Card,APAC
68,13,8,Travel,387.09,2024-11-25,Virtual Card,APAC
69,12,8,SaaS,552.15,2024-01-31,Virtual Card,APAC
70,10,3,SaaS,383.18,2024-03-04,Corporate Card,APAC
71,10,15,Operations,452.65,2024-03-08,Corporate Card,APAC
72,13,7,Travel,615.22,2024-05-17,Virtual Card,APAC
73,4,10,Logistics,368.47,2024-09-14,Virtual Card,APAC
